username,label_flickr,label_twitter,label_youtube,exists_wikipedia,exists_flickr,exists_twitter,exists_youtube,identity_match_flickr,identity_match_twitter,identity_match_youtube,as_of_MMDDYY
02wahyudi,TN,,TP,TRUE,FALSE,,TRUE,,,TRUE,120112
07bargem,,TP,,TRUE,,TRUE,,,TRUE,,110112
0z,,TN,,TRUE,,FALSE,TRUE,,,,110112
1000mhz,,,,FALSE,,,FALSE,,,,110112
117avenue,TN,,TP,TRUE,FALSE,,TRUE,,,TRUE,110112
12george1,TN,,,TRUE,FALSE,,TRUE,,,,120112
18abruce,,,TN,TRUE,,,FALSE,,,,110112
1sire,,,,FALSE,FALSE,FALSE,TRUE,,,,110112
1veertje,,TP,,TRUE,,TRUE,,,TRUE,,110112
1zackman,,TN,,TRUE,,FALSE,TRUE,,,,120112
21stcenturygreenstuff,,,,FALSE,,FALSE,,,,,110112
22dragon22burn,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
29ah,,,,FALSE,,FALSE,TRUE,,,,110112
2zmai,,,,FALSE,,,FALSE,,,,110112
48lugur,,,,FALSE,,,FALSE,,,,110112
6ii9,,,,TRUE,,,TRUE,,,,110112
72dino,,,,FALSE,,,FALSE,,,,110112
83d40m,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
842u,,,,FALSE,FALSE,,TRUE,,,,110112
8ty3hree,TN,,,TRUE,FALSE,,TRUE,,,,110112
99801155kc9tv,,,,FALSE,FALSE,,FALSE,,,,110112
Cadwaladr,,TP,TP,TRUE,,TRUE,TRUE,,TRUE,TRUE,110112
Koman90,,TP,,TRUE,,TRUE,,,TRUE,,110112
a.roz,,,,FALSE,,,FALSE,,,,110112
a.savin,,,,FALSE,,,FALSE,,,,110112
aaronjbaylis,TN,,TP,TRUE,FALSE,,TRUE,,,TRUE,110112
aaronkavo,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
abductive,,TN,,TRUE,,FALSE,TRUE,,,,120112
abhishekitmbm,,TN,,TRUE,,FALSE,TRUE,,,,120112
abrio,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
abrnkak,,TP,,TRUE,,TRUE,TRUE,,TRUE,,110112
abstractillusions,,,,FALSE,,,FALSE,,,,110112
absurdist1968,,TN,,TRUE,,FALSE,TRUE,,,,110112
aceorevived,,,,FALSE,,,FALSE,,,,110112
achowat,,TP,,TRUE,,TRUE,TRUE,,TRUE,,120112
aciram,,TN,,TRUE,,FALSE,TRUE,,,,110112
aclarado,TN,,,TRUE,FALSE,,TRUE,,,,110112
acp2011,,,,FALSE,FALSE,FALSE,TRUE,,,,110112
acroterion,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
acsian88,,TN,,TRUE,,FALSE,TRUE,,,,110112
adabowthesecond,,,,FALSE,,FALSE,,,,,110112
adamdeanhall,,,,FALSE,,FALSE,FALSE,,,,110112
add92,,TN,,TRUE,,FALSE,TRUE,,,,110112
adjwilley,,,,TRUE,,,TRUE,,,,110112
aeusoes1,TN,,,TRUE,FALSE,,TRUE,,,,110112
afavoritaweb,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
afiler,TP,,,TRUE,TRUE,,,TRUE,,,110112
agk,,TN,,TRUE,,FALSE,TRUE,,,,110112
agne27,TN,,,TRUE,FALSE,,TRUE,,,,110112
agnikalpa,,,,FALSE,,,FALSE,,,,110112
ahudson,TP,,,TRUE,TRUE,,,TRUE,,,120112
ajaxsmack,,,,FALSE,,,FALSE,,,,110112
ajona1992,,,,FALSE,,FALSE,,,,,110112
akaniji,,TP,,TRUE,,TRUE,,,TRUE,,110112
akatheflake,TN,TN,,TRUE,FALSE,FALSE,,,,,110112
akrabbim,,,,TRUE,,,TRUE,,,,110112
alanm1,,,,FALSE,,FALSE,TRUE,,,,110112
alanscottwalker,TN,,,TRUE,FALSE,,TRUE,,,,110112
alansohn,TN,TN,,TRUE,FALSE,FALSE,TRUE,,,,110112
albertsm,,,,FALSE,,FALSE,FALSE,,,,110112
aldezd,,,,FALSE,,,FALSE,,,,120112
alec2011,,,TN,TRUE,,,FALSE,,,,120112
alexf,,,TN,TRUE,,TRUE,FALSE,,,,110112
alexgreene87,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
alexiushoratius,,,,FALSE,,,FALSE,,,,110112
alienx2009,,,,FALSE,,FALSE,FALSE,,,,110112
allen3,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
allisonfoley,,,,FALSE,TRUE,FALSE,,FALSE,,,110112
allyd,,,TN,TRUE,,TRUE,FALSE,,,,110112
alphonsewan,,,,TRUE,,,TRUE,,,,110112
altava,,,,TRUE,TRUE,,,,,,120112
aluspha,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
amadscientist,,TN,,TRUE,TRUE,FALSE,,,,,120112
amanwithnoplan,,FP,,TRUE,,TRUE,,,FALSE,,120112
amatulic,TN,,TN,TRUE,FALSE,,FALSE,,,,120112
ambassadorshras,,,,FALSE,,FALSE,,,,,110112
americanlemans,,,,FALSE,FALSE,,FALSE,,,,110112
amlnet49,,FP,TN,TRUE,,TRUE,FALSE,,FALSE,,110112
amp71,,TN,,TRUE,,FALSE,TRUE,,,,110112
amsaim,,,,TRUE,,,TRUE,,,,110112
anakngaraw,,,,FALSE,,,FALSE,,,,110112
anaxial,,,TN,TRUE,,,FALSE,,,,120112
anddox,,,,FALSE,,,FALSE,,,,110112
anders.warga,,,,FALSE,,,FALSE,,,,110112
andonic,,,TN,TRUE,,,FALSE,,,,120112
andre666,,,TN,TRUE,,,FALSE,,,,110112
andreabrantes99,,,,FALSE,,FALSE,FALSE,,,,110112
andrewa,FP,FP,,TRUE,TRUE,TRUE,,FALSE,FALSE,,110112
andrewdressel,,,,FALSE,,FALSE,,,,,110112
andrewlp1991,TN,,TN,TRUE,FALSE,,FALSE,,,,120112
andrewwtaylor,,,,FALSE,,,FALSE,,,,110112
andyjsmith,,,,TRUE,,,TRUE,,,,110112
andythegrump,,,,FALSE,,FALSE,FALSE,,,,110112
anelzukic,,,,FALSE,FALSE,,TRUE,,,,110112
anemoneprojectors,,,,FALSE,,FALSE,FALSE,,,,110112
angeldeb82,TN,TN,,TRUE,FALSE,FALSE,TRUE,,,,110112
animate,,,,TRUE,,TRUE,,,,,110112
ankhmorpork,,,,FALSE,,FALSE,FALSE,,,,110112
anomalocaris,,,,TRUE,,TRUE,,,,,110112
anomie,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
anonmoos,,,,FALSE,FALSE,FALSE,TRUE,,,,120112
anthonyhcole,TN,,TN,TRUE,FALSE,,FALSE,,,,120112
antidiskriminator,,TN,,TRUE,,FALSE,TRUE,,,,110112
aormaniac13,,,,FALSE,,,FALSE,,,,110112
apokryltaros,TN,,,TRUE,FALSE,,TRUE,,,,110112
apparition11,,FP,,TRUE,,TRUE,TRUE,,FALSE,,110112
araignee,,,TN,TRUE,,,FALSE,,,,120112
arbero,TN,,,TRUE,FALSE,,TRUE,,,,110112
archanamiya,,TP,,TRUE,,TRUE,,,TRUE,,110112
arggeo,,,,FALSE,,,FALSE,,,,110112
argos'dad,,,,FALSE,,,FALSE,,,,110112
ariasword,,,,FALSE,,,FALSE,,,,110112
arpingstone,,TN,,TRUE,,FALSE,TRUE,,,,110112
arthur7171,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
articlesforcreationbot,,,,FALSE,,FALSE,FALSE,,,,110112
arzel,,TN,,TRUE,,FALSE,TRUE,,,,110112
asaikana,,,,TRUE,,,TRUE,,,,110112
asotmkx,,,,FALSE,FALSE,,,,,,120112
aspects,TN,TN,,TRUE,FALSE,FALSE,,,,,110112
aspro,,,TN,TRUE,,,FALSE,,,,120112
assassin20x,,,,FALSE,,FALSE,,,,,110112
asteuartw,,TP,TP,TRUE,,TRUE,TRUE,,TRUE,TRUE,110112
astrocog,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
astrohurricane001,,,,FALSE,,,FALSE,,,,110112
astros4477,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
aumnamahashiva,,TN,,TRUE,,FALSE,TRUE,,,,110112
auric,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
aussielegend,,TN,,TRUE,,FALSE,TRUE,,,,110112
australianrupert,,,,FALSE,FALSE,,,,,,120112
authorauthor,,,,FALSE,,,FALSE,,,,110112
autospark,TN,,TN,TRUE,FALSE,,FALSE,,,,120112
avarchaeologist,,,,FALSE,FALSE,,,,,,120112
avraham,,,TN,TRUE,,,FALSE,,,,120112
awhitec,,,,FALSE,,,FALSE,,,,110112
awien,,,,TRUE,,,TRUE,,,,110112
axelboldt,,,,FALSE,,,TRUE,,,,110112
axg,,,TN,TRUE,,,FALSE,,,,120112
aymatth2,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
azumanga1,,,TN,TRUE,,,FALSE,,,,120112
babbaq,,,,FALSE,,,FALSE,,,,110112
babonecar,,,,FALSE,,FALSE,FALSE,,,,110112
backtable,,,TN,TRUE,,,FALSE,,,,110112
bagumba,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
bamse,,,TN,TRUE,,TRUE,FALSE,,,,110112
bamyers99,TN,,,TRUE,FALSE,,TRUE,,,,110112
banwisco,,,,FALSE,,,FALSE,,,,110112
barek,,TN,,TRUE,,FALSE,TRUE,,,,110112
barkeep,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
barkingfish,,,,FALSE,,,FALSE,,,,110112
barrytheunicorn,,,,FALSE,,,FALSE,,,,110112
barsoomian,TN,,,TRUE,FALSE,,TRUE,,,,110112
barte,FP,,TN,TRUE,TRUE,,FALSE,FALSE,,,110112
basalisk,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
bashbrannigan,,,,FALSE,,FALSE,,,,,110112
bashereyre,,TP,,TRUE,,TRUE,,,TRUE,,110112
basilicofresco,,,TP,TRUE,,,TRUE,,,TRUE,120112
bassplyr23,,,,FALSE,FALSE,,,,,,120112
batteryincluded,,,,FALSE,,FALSE,,,,,110112
bays24,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
bearian,,,TN,TRUE,,,FALSE,,,,110112
beeblebrox,,TN,,TRUE,,FALSE,TRUE,,,,110112
beenchanged,,,,FALSE,,,FALSE,,,,110112
beetstra,TN,TN,,TRUE,FALSE,FALSE,,,,,110112
bejnar,TN,,TN,TRUE,FALSE,TRUE,FALSE,,,,110112
belchfire,TN,TN,,TRUE,FALSE,FALSE,,,,,110112
ben76266,,,TN,TRUE,,,FALSE,,,,120112
benlisquare,TN,TN,,TRUE,FALSE,FALSE,,,,,110112
benrr101,,,,TRUE,,,TRUE,,,,110112
bentels,,,,FALSE,,FALSE,,,,,110112
berbatovsfirsttouch,,,,FALSE,,FALSE,,,,,110112
bermicourt,,TN,,TRUE,,FALSE,TRUE,,,,110112
bertaut,TN,,,TRUE,FALSE,,TRUE,,,,110112
berton,TN,,,TRUE,FALSE,,TRUE,,,,110112
bg19bot,,,,FALSE,,,FALSE,,,,110112
bgwhite,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
bhny,,,TN,TRUE,,,FALSE,,,,110112
bigears42,,,,FALSE,,FALSE,,,,,110112
bignole,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
bigone01,,,,FALSE,,FALSE,,,,,110112
bigt2006,,,,FALSE,FALSE,,,,,,110112
bigturtle,,,TN,TRUE,,,FALSE,,,,110112
bihco,,,TN,TRUE,,,FALSE,,,,110112
bilcat,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
bill-on-the-hill,,,,FALSE,,,FALSE,,,,110112
billcasey905,,TP,TN,TRUE,,TRUE,FALSE,,TRUE,,110112
